Generated with
tshark -r wired-prefetch.pcapng -T fields -e frame.number -e frame.time -e ip.src -e ip.dst -e tcp.len -E header=y -E separator=, -E quote=d -E occurrence=f  > wired-prefetch.csv

frame.number,frame.time,ip.src,ip.dst,tcp.len
"283","Dec  3, 2015 17:38:17.914764000","167.114.84.145","10.0.2.15","1448"
"284","Dec  3, 2015 17:38:17.914764000","10.0.2.15","167.114.84.145","0"
"285","Dec  3, 2015 17:38:17.914837000","167.114.84.145","10.0.2.15","1448"
"286","Dec  3, 2015 17:38:17.914885000","10.0.2.15","167.114.84.145","0"
"287","Dec  3, 2015 17:38:17.915068000","167.114.84.145","10.0.2.15","1448"
"288","Dec  3, 2015 17:38:17.915091000","10.0.2.15","167.114.84.145","0"
"289","Dec  3, 2015 17:38:17.916978000","167.114.84.145","10.0.2.15","883"
"290","Dec  3, 2015 17:38:17.916983000","10.0.2.15","167.114.84.145","0"
"291","Dec  3, 2015 17:38:17.926818000","167.114.84.145","10.0.2.15","1448"
"292","Dec  3, 2015 17:38:17.926818000","10.0.2.15","167.114.84.145","0"
"293","Dec  3, 2015 17:38:17.926868000","167.114.84.145","10.0.2.15","1448"
"294","Dec  3, 2015 17:38:17.926872000","10.0.2.15","167.114.84.145","0"
"295","Dec  3, 2015 17:38:17.926994000","167.114.84.145","10.0.2.15","1448"
"296","Dec  3, 2015 17:38:17.926998000","10.0.2.15","167.114.84.145","0"
"297","Dec  3, 2015 17:38:17.927109000","167.114.84.145","10.0.2.15","1448"
"298","Dec  3, 2015 17:38:17.927112000","10.0.2.15","167.114.84.145","0"
"299","Dec  3, 2015 17:38:17.927226000","167.114.84.145","10.0.2.15","1448"
"300","Dec  3, 2015 17:38:17.927229000","10.0.2.15","167.114.84.145","0"
"301","Dec  3, 2015 17:38:17.927348000","167.114.84.145","10.0.2.15","1448"
"302","Dec  3, 2015 17:38:17.927352000","10.0.2.15","167.114.84.145","0"
"303","Dec  3, 2015 17:38:17.927437000","167.114.84.145","10.0.2.15","1448"
"304","Dec  3, 2015 17:38:17.927441000","10.0.2.15","167.114.84.145","0"
"305","Dec  3, 2015 17:38:17.927553000","167.114.84.145","10.0.2.15","1448"
"306","Dec  3, 2015 17:38:17.927557000","10.0.2.15","167.114.84.145","0"
"307","Dec  3, 2015 17:38:17.927604000","10.0.2.15","167.114.84.145","543"
"308","Dec  3, 2015 17:38:17.927632000","167.114.84.145","10.0.2.15","0"
"309","Dec  3, 2015 17:38:17.927675000","167.114.84.145","10.0.2.15","1448"
"310","Dec  3, 2015 17:38:17.927678000","10.0.2.15","167.114.84.145","0"
"311","Dec  3, 2015 17:38:17.927813000","167.114.84.145","10.0.2.15","1448"
"312","Dec  3, 2015 17:38:17.927817000","10.0.2.15","167.114.84.145","0"
"313","Dec  3, 2015 17:38:17.927854000","10.0.2.15","167.114.84.145","543"
"314","Dec  3, 2015 17:38:17.927890000","167.114.84.145","10.0.2.15","0"
"315","Dec  3, 2015 17:38:17.928062000","167.114.84.145","10.0.2.15","1448"
